Joke,Episode,Guest,URL,Time,ID
"The Octomom has reportedly been evicted from her California home. The mother of 14 children packed up and left her property in Palmdale after being asked to leave for not paying her rent for the month of April. The single parent whose real name is Nadya Suleman exited leaving a huge mess and the stench of urine inside the pad. Wait, it says here the urine has been traced back to Adam Eget.",NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h5m9s,65
"Call me crazy, but I take orders from Martians who send secret messages beamed out from the antenna at the top of the Empire State Building.",NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h5m37s,66
A Georgia high school is planning to merge their formerly all black and all white proms into a single event. The theme of this June's dance? 'An Evening of Unbridled Race War',NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h5m54s,67
"A Florida man was arrested for stealing a truck filled with $76,000 worth of Campbell's soup.</p> <p>I, for one, hope this guy goes away for <i>'Mmm, mmm, good!'</i>",NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h6m11s,68
My girlfriend and I have a deal where we have one celebrity that we can sleep with and it's not considered cheating. Mine is that woman who plays Madea.,NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h6m26s,69
"In Kansas, a gay-rights activist named Aaron Jackson paid $83,000 to buy a house across from the homophobic Westboro Baptist Church and had it painted rainbow colours. Mr. Jackson plans to recoup his investment by... well, actually there's no plan. Have fun living in a hideous house in Kansas across from some vicious bigots!",NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h7m0s,70
Its Earth Day!</p> <p>The one day of the year where you can jerk off outside and nothing bad can happen!</p> <p>(I don't know what Earth Day is),NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h7m26s,71
A new study shows that most men can identify a gay man by his face alone.</p> <p>It's the face that's buried in another man's asshole.,NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h7m56s,72
"Apparently someone in Germany stole 5 metric tons of Nutella. Police haven't arrested anyone yet but they are questioning Günther Hasbargen, the 700 pound man that smells like chocolate and hazelnuts who guards the Nutella storage facility.",NML S01E06,Larry King,ZpKgXcDNuo4,39m19s,73
I love the movie '42'. It's Chadwick Boseman like you've never seen him before!,NML S01E06,Larry King,ZpKgXcDNuo4,39m42s,74
There's no wrong way to eat a Reese's... says the guy who didn't shove a bunch of Reese's up his ass.,NML S01E06,Larry King,ZpKgXcDNuo4,40m0s,75
Amanda Bynes is a lush blonde who's quickly turning into a blonde lush.,NML S01E06,Larry King,ZpKgXcDNuo4,40m9s,76
"Have you heard about this thing where people make up porn star names? They take their childhood pet's name and then they combine it with their childhood street name.</p> <p>So anyways, mine would be Dick Fuckington.</p> <p>...I lived on Fuckington Crescent.",NML S01E06,Larry King,ZpKgXcDNuo4,41m01s,77
College freshman Scott Damerow set a new world record by using his head to bust 142 eggs and he now officially holds a place in the Guinness Book of Fucking Retards.,NML S01E06,Larry King,ZpKgXcDNuo4,41m24s,78
If you were a Russian prostitute on a date with serial killer Andrei Chikatilo aka. The Rostov Ripper and he couldn't achieve an erection... that was not your lucky day.,NML S01E06,Larry King,ZpKgXcDNuo4,41m54s,79
The Al Qaeda online magazine 'Inspire' has a recipe for a homemade bomb. They also have a recipe for a pretty darn good peach cobbler.,NML S01E06,Larry King,ZpKgXcDNuo4,43m35s,80
You know my clothes make me look slimmer. But they did not fool that flight of stairs that collapsed under my astonishing new girth.,NML S01E06,Larry King,ZpKgXcDNuo4,44m05s,81
"I loved Liberace but with all due respect, man, if you kicked that guy in the ass a hundred cocks would fall out.",NML S01E06,Larry King,ZpKgXcDNuo4,50m06s,82
"Fast and Furious 6 opens next week. The cast is getting a little older, it's less 'Fast and Furious' and more 'Brisk and Peeved'",NML S01E07,Kevin Nealon,5fPseVNcUak,48m12s,83
"A good name for a dog is 'Syndrome'. Then when he tries to attack someone you can yell ""Down Syndrome!""",NML S01E07,Kevin Nealon,5fPseVNcUak,48m26s,84
I've never gotten a decent explanation as to how Popeye the Sailor Man lost his eye.,NML S01E07,Kevin Nealon,5fPseVNcUak,48m45s,85
"In my opinion if we are going to fight the war on terror, a good place to start would be our country's haunted houses.",NML S01E07,Kevin Nealon,5fPseVNcUak,49m4s,86
ZZ Top sang that every girl's crazy 'bout a sharp dressed man. But you know what they're not crazy about? Gross long beards.,NML S01E07,Kevin Nealon,5fPseVNcUak,49m56s,87
"Movie star and award-winning director Ben Affleck has vowed to live for one day on $1.50 or as Adam Eget calls it ""a raise"".",NML S01E07,Kevin Nealon,5fPseVNcUak,50m17s,88
"In England a woman was arrested for throwing a birthday party for her 16 year old son that involved marijuana, alcohol and strippers. Now she's got an even bigger problem: What to do for his 17th birthday.",NML S01E07,Kevin Nealon,5fPseVNcUak,50m34s,89
"Horses must love that they're the go-to animals when saying a guy has a huge cock. I bet giraffes have huge cocks, I'm sure of it. But let's face it, no one's ever going to say ""That guy's hung like a giraffe"" unless his cock is yellow and has brown spots on it. In which case who cares how big his fucking cock is, he has weeks to live.",NML S01E07,Kevin Nealon,5fPseVNcUak,50m49s,90
Tomorrow is National Secretary's Day. I plan on getting my secretary the same thing I always do.</p> <p>A big fat goosing!,NML S01E07,Kevin Nealon,5fPseVNcUak,51m38s,91
Remember the good old days back when MILF stood for Mentally Ill Ladies I'd like to Fuck?,NML S01E07,Kevin Nealon,5fPseVNcUak,52m26s,92
"There's going to be a broadway musical based on the movie, 'Rocky'. In the broadway musical version, after Rocky climbs the steps of the art museum he goes inside and spends 2 hours looking at paintings.",NML S01E07,Kevin Nealon,5fPseVNcUak,52m43s,93
"Tim Tebow's time in New York wasn't a total loss, he had a monument built to him in Central Park.</p> <p>A bench.",NML S01E07,Kevin Nealon,5fPseVNcUak,53m42s,94
"Catherine Zeta-Jones has been diagnosed with bipolar disorder.</p> <p>Half the time she's Zeta, half the time she's Jones.",NML S01E07,Kevin Nealon,5fPseVNcUak,53m58s,95
"A new tabloid rumor: 205 pound Kim Kardashian might be getting paid to gain weight by some weight-loss program or reality show that will then get her to lose weight.</p> <p>I have a similar deal, only I paid them, and by them I mean Zankou Chicken. And in exchange they give me some Zankou Chicken.",NML S01E07,Kevin Nealon,5fPseVNcUak,54m11s,96
"Cats and paraplegics have a lot in common. For starters, neither appreciates being tossed into your neighbour's pool.",NML S01E07,Kevin Nealon,5fPseVNcUak,59m53s,97
"They say there's no people like show people, but now scientists have found that show people are genetically linked to the Laplanders and the Finns.",NML S01E07,Kevin Nealon,5fPseVNcUak,1h0m18s,98
"Despite all the advances in veterinary medicine and racing technology the Kentucky Derby record set by Secretariat still stands, the reason?</p> <p>Today's horses are total pussies.",NML S01E08,Simon Helberg,mE0hqUehYS0,46m10s,99
Ja Rule's taxes are just like his music. No one can remember the last time he released anything.,NML S01E08,Simon Helberg,mE0hqUehYS0,46m31s,100
"Catherine Zeta-Jones admitted she is bi-polar.</p> <p>Half the time she's deliriously happy, and the other half she has to suck an old man's cock.",NML S01E08,Simon Helberg,mE0hqUehYS0,46m47s,101
"If tampons are called sanitary napkins, how unsanitary must regular napkins be?",NML S01E08,Simon Helberg,mE0hqUehYS0,47m4s,102
"Scientists have found a submerged mass of granite off the coast of South America that they are calling the 'Brazilian Atlantis'. Dammit, I want to be called the 'Brazilian Atlantis'!",NML S01E08,Simon Helberg,mE0hqUehYS0,47m20s,103
"Crews in Ohio dismantled a tavern wall in search of Jimmy Hoffa's body, and sure enough, they found the inside of a tavern wall!",NML S01E08,Simon Helberg,mE0hqUehYS0,47m55s,104
I once missed a day of cosmetology school and later I had to take a make-up class.,NML S01E08,Simon Helberg,mE0hqUehYS0,48m15s,105
"The Dalai Lama said that ""killing in the name of religion is unthinkable"".</p> <p>Hey, thanks Dalai Lama! I'm sure everybody will fucking listen to you!",NML S01E08,Simon Helberg,mE0hqUehYS0,48m45s,106
"Yesterday was 'bring-your-daughter-to-work day', which was awkward for Adam Eget. Do you know how hard it is to fuck a whore with her kid on the edge of the bed playing Nintendo?",NML S01E08,Simon Helberg,mE0hqUehYS0,49m7s,107
"I like hotels, they make your bed, make your dinner, send housekeepers up to watch you masturbate, its a dream.",NML S01E08,Simon Helberg,mE0hqUehYS0,49m37s,108
The parents of Honey Boo-Boo are getting married this week. I don't know what any of that means but it sounds fucking retarded.,NML S01E08,Simon Helberg,mE0hqUehYS0,49m47s,109
"Recent studies show fish can communicate with each other using subtle physical gestures. One of their most common messages: (make a subtle gesture) ""Lets leave this party early"" ",NML S01E08,Simon Helberg,mE0hqUehYS0,50m9s,110
I assume anyone smiling is on meth.,NML S01E08,Simon Helberg,mE0hqUehYS0,50m53s,111
"According to a new survey, Robin Roberts is America's most trusted news anchor. And America's least trusted news anchor? Matt Liar!",NML S01E08,Simon Helberg,mE0hqUehYS0,51m30s,112
"Ariel Castro the Cleveland kidnapper and rapist must have had a very difficult upbringing. His last name's the same as a ruthless dictator, and his first name's the same as an adorable little red-haired mermaid.",NML S01E08,Simon Helberg,mE0hqUehYS0,53m1s,113
A new study found that men with beards are more attractive than men without beards.</p> <p>More great work from the University of Bob Seger!,NML S01E08,Simon Helberg,mE0hqUehYS0,53m50s,114
"If you guys think it's weird that that guy in Cleveland kept three women in his basement as sex slaves, wait 'til you hear what my middle-aged Uncle Gordon kept in his basement... </p><p><i>A fuckin' electric train!</i>",NML S01E08,Simon Helberg,mE0hqUehYS0,1h19m00s,115
"A Florida university student was caught streaking on campus and apparently told police he was on acid, and asked them to cut his dick off. Boy, these kids today are crazy, back in my day we didn't need drugs, we would just cut our own dicks off.",NML S01E09,Nick Swardson,uL5ZX2nPNek,43m16s,116
"There's a new 3D version of the Great Gatsby coming out. In 3D, it was almost like the sober examination of the unrestrained materialism and absent moral center of the roaring twenties <i>jumps right out at you!</i>",NML S01E09,Nick Swardson,uL5ZX2nPNek,43m33s,117
I think my doctor might be retarded.</p> <p>Why?</p> <p>His name is Doctor Retardo.,NML S01E09,Nick Swardson,uL5ZX2nPNek,44m0s,118
"42 year old Richard Swanson set out to dribble a soccer ball from Seattle to Brazil, but got hit by a car in Oregon and died. Well at least he got to die doing what he loved. Dribbling a soccer ball in traffic.",NML S01E09,Nick Swardson,uL5ZX2nPNek,44m07s,119
One of the most popular documentaries on Netflix is 'Jiro Dreams of Sushi'.</p> <p>One of the least popular is 'Jiro Nightmares of Ass Rape'.,NML S01E09,Nick Swardson,uL5ZX2nPNek,44m36s,120
"""Pain and Gain"" the new movie directed by Michael Bay.</p> <p>Reviewers are calling it everything from ""shit"" to ""fucking shit""!",NML S01E09,Nick Swardson,uL5ZX2nPNek,44m58s,121
My landlord managed to get rid of 230 pounds of ugly fat - he evicted me!,NML S01E09,Nick Swardson,uL5ZX2nPNek,45m22s,122
Sure we all know about Norm's astonishing weight gain - but i think it's become a bit wearisome. So let's agree to stop having fun at his <i>expanse.</i>,NML S01E09,Nick Swardson,uL5ZX2nPNek,45m33s,123
Four of the top 5 picks in the NFL draft were offensive tackles which is a great thing to tell your wife as the love drains from her eyes.,NML S01E09,Nick Swardson,uL5ZX2nPNek,45m47s,124
Danny Devito looks like one of those guys with a short but thick penis.,NML S01E09,Nick Swardson,uL5ZX2nPNek,46m0s,125
"You know dogs and humans love to run because apparently it gives them a natural high, similar to marijuana, according to the university of Arizona.</p> <p>After running, what are called <i>cannabinoids</i>, the chemical found in marijuana that gives you the feeling of euphoria, are higher in humans and dogs, and this encourages them to run again... <i>to 7/11 for a slurpee!</i>",NML S01E09,Nick Swardson,uL5ZX2nPNek,46m15s,126
"A man in Taiwan reportedly cut off his own penis to win an argument with his wife. That reminds me of that episode of ""Everybody Loves Raymond"" where Raymond forgot Debra's birthday and had to cut his own cock off.",NML S01E09,Nick Swardson,uL5ZX2nPNek,46m55s,127
"Before I begin I have a quick public service announcement.</p> <p>Would somebody, anybody, please fuck Martha Stewart?",NML S01E09,Nick Swardson,uL5ZX2nPNek,48m43s,128
"For the 9th consecutive year, JetBlue Airlines ranked 1st for satisfaction among all North American airlines. Y'know which ranked least in satisfaction?</p> <p>9/11 Airlines.",NML S01E09,Nick Swardson,VkSMSbFV_q0,,129
I can understand why Barbara Walters is retiring. It must be exhausting occasionally appearing on 'The View'.,NML S01E09,Nick Swardson,uL5ZX2nPNek,49m10s,130
"Engaging in hate speech is wrong and terrible and should never be tolerated. But you have to admit, engaging in a hate stutter would be kind of cute.",NML S01E09,Nick Swardson,uL5ZX2nPNek,49m36s,131
"A 'Papa John's' delivery man has been arrested for allegedly selling more than $40,000 in cocaine hidden in pizza boxes, to undercover police officers. This raises an important question: Wheres all that pizza that was supposed to go in those boxes? And can I have them to eat?",NML S01E09,Nick Swardson,uL5ZX2nPNek,49m54s,132
"Sesame Street introduced its very first Latino character, Armando. But it's not going great, apparently on the first day he got into a knife fight and stabbed the letter A.",NML S01E09,Nick Swardson,uL5ZX2nPNek,50m47s,133
The FDA is investigating health risks posed by Wrigley's new caffeinated gum. Where the hell was the FDA when York Peppermint Patties were making people shiver and have involuntary orgasms?,NML S01E09,Nick Swardson,uL5ZX2nPNek,51m4s,134
"Time Magazine named the Top 100 Most Influential People in the World. The Top 100 included Justin Timberlake, Beyoncé, Jimmy Kimmel... in your <i>FACE, Ueli Maurer, President of the Swiss Confederation!</i>",NML S01E09,Nick Swardson,uL5ZX2nPNek,52m09s,135
Nowadays most teenagers don't watch their favorite shows on actual TV sets. Instead they just blow each other.,NML S01E09,Nick Swardson,uL5ZX2nPNek,52m37s,136
How many people have to die before we finally do something about dropping pianos?!,NML S01E09,Nick Swardson,uL5ZX2nPNek,52m50s,137
"The latest Archie Comic shows gay character Kevin kissing his boyfriend Devin. Another barrier will be broken next month when in a dream sequence, Jughead will be shown fisting Betty Crocker.",NML S01E10,Andy Dick,a3UqEgL1VXI,1h3m53s,138
"Barbara Walters announced that she's retiring from 'The View'. Well actually she announced it five years ago, but nobody could hear her over those yammering bitches.",NML S01E10,Andy Dick,a3UqEgL1VXI,1h5m5s,139
"They say pimpin' ain't easy... but what they won't tell you is it's much, <i>much</i> more difficult being a prostitute.",NML S01E10,Andy Dick,a3UqEgL1VXI,1h5m24s,140
It's hard to believe that the entire cast of Saved by the Bell is now dead.,NML S01E10,Andy Dick,a3UqEgL1VXI,1h5m35s,141
"George Clooney may be a dapper fellow, but don't forget, he whacks off just like the rest of us.",NML S01E10,Andy Dick,a3UqEgL1VXI,1h5m46s,142
"If there's two things I'm 100% sure are true, it's that 1) No means no. 2) You should never take no for an answer.",NML S01E10,Andy Dick,a3UqEgL1VXI,1h6m11s,143
"There is a new service called 'Sidecar', where if you need a ride somewhere you will be picked up by a stranger and driven to your location. However in a few months the company plans on going back to its original name: 'Murder'",NML S01E10,Andy Dick,a3UqEgL1VXI,1h6m24s,144
"Accomplished comedian Sinbad has announced he's filing for bankruptcy for the 2nd time.</p> <p>Sounds like things have gone from Sin-bad, to Sin-worse.",NML S01E10,Andy Dick,a3UqEgL1VXI,1h6m48s,145
"A lot of people talk about masturbating to the Sears catalogue when they were younger. But I'm a lot older than that, back in my day you actually had to go to a Sears store and fucking whack off!",NML S01E10,Andy Dick,a3UqEgL1VXI,1h7m35s,146
Organist Ray Manzarek died this week at age 74... THE CURSE OF THE DOORS,NML S01E10,Andy Dick,a3UqEgL1VXI,1h8m17s,147
"My Aunt turned her house into a bed & breakfast. I guess she woke up and said ""not enough strangers are fucking here""",NML S01E10,Andy Dick,a3UqEgL1VXI,1h8m42s,148
